lat,lon,municipio
-7.044461342198988,-38.337539396050026,Carrapateira
-10.422515266069075,-48.88235878582917,Pugmil
-5.634388261773991,-44.01463010094357,Fortuna
-15.951461811765263,-49.2546744951109,São Francisco de Goiás
-9.77280627737863,-36.100782537280274,São Miguel dos Campos
-7.045120555177116,-48.37454302620976,Carmolândia
-3.7334961460070586,-49.371209913158935,Breu Branco
-27.832475196406847,-52.89307729768996,Rondinha
-28.49560400427866,-52.00863962461549,Santo Antônio do Palma
-27.20798230165878,-49.73361402886568,Laurentino
-21.3594707885843,-46.941939703390496,Arceburgo
-5.635116374557142,-47.68409432718998,Sítio Novo do Tocantins
-26.6624406074327,-48.72738559297731,Barra Velha
-27.078455809267005,-50.092434821129466,Taió
-27.98852810007671,-54.97592783376223,São Paulo das Missões
-20.612656866654024,-46.144191795313475,Capitólio
-3.286012049598809,-59.5986770166085,Careiro da Várzea
-23.67515440059829,-46.960512331155044,Cotia
-15.861783039915878,-41.76481219288705,Curral de Dentro
-16.704524835727135,-51.44180868204526,Palestina de Goiás
-24.19062212735448,-48.9729133502219,Nova Campina
-22.914206040127134,-45.23721921739436,Aparecida
-27.703273401192764,-53.20602909769799,Lajeado do Bugre
-9.814854038906129,-36.282927353324624,Campo Alegre
-9.69513372679914,-49.354754003878604,Divinópolis do Tocantins
-22.954125614634595,-44.03803775211524,Mangaratiba
-28.746686938342044,-55.79657720215656,São Borja
-22.146986134970316,-45.425181805588785,Conceição das Pedras
-18.90353242070986,-47.56255697251458,Romaria
-5.735505911184291,-48.43188845156141,Brejo Grande do Araguaia
-20.718677610640405,-40.68627301411946,Anchieta
-15.078102404529414,-53.25848056755143,Novo São Joaquim
-6.458016272604658,-39.607258388363704,Jucás
-23.701078895008695,-46.40280398464695,Ribeirão Pires
-5.9340394700402666,-35.75443061149369,São Paulo do Potengi
-10.456623892595895,-36.55511539205811,Ilha das Flores
-14.62557041850365,-41.28371573753979,Caraíbas
-19.742309052663845,-42.35104109195264,Bom Jesus do Galho
-3.270057345461403,-40.46103822260768,Senador Sá
-29.240826428579144,-51.58225641690602,Garibaldi
-0.6046147915872832,-55.03916585837633,Alenquer
-24.501753361548,-53.27610263309982,Nova Aurora
-22.10019502617809,-50.36927535342769,Quintana
-5.393979171886437,-37.53530486818513,Governador Dix-Sept Rosado
-15.012832833257582,-42.95391330283938,Mamonas
-6.999435103540131,-35.42087556775419,Mulungu
-16.862375936963883,-42.494288750150154,Berilo
-2.278918915532383,-49.9023302320634,Oeiras do Pará
-26.857082062107853,-53.61806004127123,Belmonte
-21.277446726872284,-46.80730099297874,Guaranésia
-3.0528566337403023,-69.09017164359534,Santo Antônio do Içá
-21.100819961331165,-55.9014834814376,Nioaque
-21.496353385181322,-44.61208271680474,Carrancas
-21.588038862741328,-50.87629611896304,Salmourão
-22.23422450713027,-43.857526345573305,Valença
-18.48816987036563,-41.102036723718946,Nova Belém
-11.062673405000286,-37.48056362195188,Salgado
-8.675068968997113,-35.218150180197576,Rio Formoso
-5.027710208781505,-45.945967858190436,Arame
-9.593574355288457,-56.68258879699014,Paranaíta
-20.592975010797165,-42.72132498243775,Pedra do Anta
-12.468335538940982,-39.26901150310494,Santo Estêvão
-22.988012637697107,-52.16248813042979,Cruzeiro do Sul
-21.0626207545152,-49.51597569054507,Nova Aliança
-29.44327558404913,-52.007401229806746,Lajeado
-6.3559275822938925,-36.824989489423984,Cruzeta
-28.708009069975375,-52.1714170245082,Nova Alvorada
-26.879227556225192,-53.19066459802322,Cunha Porã
-16.515008710531003,-49.06602267597975,Goianápolis
-7.278912411394185,-35.266682206801406,Pilar
-6.124476322354882,-41.83029193814406,Aroazes
-19.458587482601395,-42.6899250447459,Coronel Fabriciano
-7.896698795734358,-42.47638465453848,Socorro do Piauí
-18.258482735539197,-42.32434784011001,Santa Maria do Suaçuí
-19.876198602198937,-46.160679842341644,Tapiraí
-20.06377095677244,-50.59404469415986,Paranapuã
-13.460224857730378,-40.28225860635379,Lajedo do Tabocal
-22.925001144591405,-42.160006465943155,Arraial do Cabo
-19.827340724211844,-45.678819422452555,Luz
-23.67294942202673,-49.45849135508454,Itaporanga
-1.0932558211419199,-48.18276549892545,Santo Antônio do Tauá
-21.446763238741074,-42.96351124094264,Descoberto
-26.169003769921893,-52.66317240381503,Pato Branco
-23.194602028794943,-46.913011931724306,Jundiaí
-11.30628838441489,-39.9959000888673,Capim Grosso
-16.223307365503373,-51.3504586614049,Diorama
-18.863356840315777,-43.68716723489163,Congonhas do Norte
-28.863951957870757,-52.18705389618493,Arvorezinha
-21.732734496385547,-50.87388645380617,Osvaldo Cruz
-26.418079053739287,-50.48684429909704,Bela Vista do Toldo
-13.824994389053854,-39.58280927124277,Nova Ibiá
-5.025432693887998,-38.43528285401229,Morada Nova
-6.755035070266457,-35.84317269454338,Casserengue
-9.2293658294081,-38.44476151602394,Glória
-10.776984962895423,-40.71450879055508,Mirangaba
-20.081250531210415,-48.646263604019424,Planura
-18.896328777983154,-42.310362064864584,São Geraldo da Piedade
-27.847014439117487,-50.77112433588914,Campo Belo do Sul
-23.829706925948102,-52.14040769769339,Quinta do Sol
-13.87760672295424,-40.14613045435643,Jequié
-15.340777624168098,-49.53167162408259,Rialma
-22.88120872980724,-50.695312295796825,Florínea
-20.20931774005688,-47.692934174283394,Buritizal
-26.472605737992982,-51.391935386000014,General Carneiro
-28.53832645348702,-51.86782664664206,São Domingos do Sul
-23.12896964364173,-48.28587147614714,Bofete
-4.377375127106327,-44.62313710317511,São Luís Gonzaga do Maranhão
-20.77781977636481,-50.34575347718714,Nova Castilho
-5.6981669021709225,-36.18059706300873,Lajes
-29.372083068004667,-51.08511205609632,Nova Petrópolis
-6.700177004521075,-35.59626702611337,Bananeiras
-22.42495270908694,-49.19179708468538,Piratininga
-23.065263000181286,-51.556383243382676,Jaguapitã
-16.259395726517923,-44.15769932385119,Mirabela
-11.034983196253227,-38.811482513682094,Tucano
-27.50100923570016,-53.36267923669739,Seberi
-6.255126658772605,-35.57436013666299,Serrinha
-26.96901297345046,-48.75341716393477,Itajaí
-13.856317580760402,-41.71223455220209,Dom Basílio
-24.777358894264697,-48.05387513866496,Jacupiranga
-11.731683735963298,-40.180633393205895,Mairi
-9.621890019654167,-45.40777559364229,Gilbués
-23.592258106230986,-50.74329344134217,Nova Santa Bárbara
-6.432822051041431,-35.899107114754685,Japi
-18.916807753706568,-41.36686355173386,São Geraldo do Baixio
-21.48403559690369,-44.15547592845802,Piedade do Rio Grande
-16.503649289319274,-40.277476055632384,Santo Antônio do Jacinto
-14.701273001955304,-39.66409283967232,Almadina
-19.102748504280083,-45.35867495768383,Abaeté
-27.813959700627688,-51.6769561676806,Cacique Doble
-18.239193742107346,-46.336181143775406,Presidente Olegário
-11.033980396933114,-37.80044335213639,Riachão do Dantas
-12.731625578505234,-39.36399699604037,Castro Alves
-11.039859488293322,-40.22183030580453,Caldeirão Grande
-12.113281298657059,-48.83434312865202,Sucupira
-19.931222352296494,-42.693311345003366,São José do Goiabal
-23.40543007409696,-50.87555355106559,Assaí
-15.810100907265344,-49.01108867437713,Pirenópolis
-21.209818861810835,-48.911629330252396,Pindorama
-24.04511597938835,-53.71983221520344,Iporã
-18.138867329173028,-40.27515034347889,Montanha
-4.240515815589243,-42.77355663853854,Miguel Alves
-23.51425196467711,-51.110376572811354,Londrina
-7.019034965714369,-41.35619354510714,Sussuapara
-18.928284101603623,-43.25924846990778,Dom Joaquim
-20.412149215771084,-42.917387041739126,Ponte Nova
-19.359919619241207,-45.99948418953659,São Gotardo
-24.440355089902457,-53.95853866951047,Nova Santa Rosa
-20.70265764268629,-42.087521833199176,Carangola
-19.498630656881886,-41.9669142566139,Inhapim
-22.127697667921627,-52.056586004835495,Marabá Paulista
-20.979373846657936,-42.511410738829184,Rosário da Limeira
-28.233826651349528,-55.53864233881104,Garruchos
-29.851747274683778,-51.17679726543736,Esteio
-19.262936321119888,-43.863415746872455,Baldim
-23.187123398035684,-47.75713328560421,Cerquilho
-3.0926473817213447,-41.23256173283183,Chaval
-12.017026203585507,-56.05865920964658,Ipiranga do Norte
-31.40492578465005,-53.41341658582478,Pinheiro Machado
-3.8538446073704904,-39.14603046361711,Pentecoste
-13.326230127823113,-42.53470606022199,Botuporã
-20.892926538002143,-41.829709664865916,Varre-Sai
-28.123286090162647,-54.89511704213703,São Pedro do Butiá
-15.206748255525834,-42.96873736073213,Monte Azul
-23.07609371117077,-52.32357741417079,Alto Paraná
-9.292440659291552,-60.304193809602594,Colniza
-20.372050999117334,-50.91055884584506,Nova Canaã Paulista
-23.179759235310716,-51.28431522428851,Cambé
-9.202868431448149,-36.68423667897608,Bom Conselho
-21.132183104589473,-48.53029766198122,Taiaçu
-8.665102272589898,-36.04914115882154,Panelas
-7.174540678066361,-47.856837159222536,Babaçulândia
-6.620581233923506,-36.261398244758134,Baraúna
-3.7108729534681384,-43.85380637438625,Vargem Grande
-31.21739792897377,-52.66950984805046,Canguçu
-25.100868433669124,-52.25266008397673,Marquinho
-19.360287411039202,-43.1752998417814,Passabém
-21.934972952987927,-51.39565497565409,Alfredo Marcondes
-5.6462983623151,-36.55723377564656,Angicos
-23.42670294618797,-53.07216684692868,Nova Olímpia
-22.008972667086834,-45.98677399262302,Espírito Santo do Dourado
-18.72238190588233,-56.72229472374847,Corumbá
-7.903014334086909,-48.675544424491655,Bandeirantes do Tocantins
-21.524519973109747,-49.87046505842284,Promissão
-2.9498067990764603,-40.80089121264126,Camocim
-24.039201549842417,-48.28984088913948,Capão Bonito
-12.999942701795925,-46.510750653335826,Campos Belos
-4.302326434444331,-38.46833823455376,Chorozinho
-18.76953385417784,-46.336776919821254,Lagoa Formosa
-16.828780014772562,-44.79024471130697,Ibiaí
-26.626911304049113,-48.98819179049194,Massaranduba
-6.906800299621393,-41.20739851960857,Santo Antônio de Lisboa
